Title,Year,Rating,Votes,Runtime(min),Genres,Overview,Director,Actors
Green Snake,2021,8.105,320,131,"Animation, Fantasy, Action, Adventure","While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",Amp Wong,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao, Zhao Mingzhou, Zheng Xiaopu"
The Hate U Give,2018,8.105,2146,133,"Crime, Drama","Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",George Tillman Jr.,"Amandla Stenberg, Regina Hall, Russell Hornsby, K.J. Apa, Common"
The Great War,1959,8.1,346,137,"Comedy, War, Drama","Italy, 1916. Oreste Jacovacci and Giovanni Busacca are called, as all the Italian youths, to serve the army in the WWI. They both try in every way to avoid serving the army.",Mario Monicelli,"Vittorio Gassman, Alberto Sordi, Silvana Mangano, Folco Lulli, Bernard Blier"
Big Deal on Madonna Street,1958,8.1,717,106,"Comedy, Crime","Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.",Mario Monicelli,"Vittorio Gassman, Renato Salvatori, Memmo Carotenuto, Rossana Rory, Carla Gravina"
In the Mood for Love,2000,8.1,2890,99,"Drama, Romance","In 1962 Hong Kong, two neighbors form a strong bond after both suspect extramarital activities of their spouses.",Wong Kar-wai,"Tony Leung, Maggie Cheung, Rebecca Pan, Kelly Lai Chen, Siu Ping-Lam"
Mortal Kombat Legends: Scorpion's Revenge,2020,8.1,1396,80,"Animation, Action, Fantasy","After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",Ethan Spaulding,"Patrick Seitz, Jordan Rodrigues, Jennifer Carpenter, Joel McHale, Ike Amadi"
The Invisible Guest,2017,8.1,4631,107,"Drama, Mystery, Thriller","Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella"
Prisoners,2013,8.099,12098,153,"Drama, Thriller, Crime","Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard"
Yojimbo,1961,8.1,1512,110,"Drama, Thriller","A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Yōko Tsukasa, Isuzu Yamada, Daisuke Katō"
WALL·E,2008,8.097,19139,98,"Animation, Family, Science Fiction","What if mankind had to leave Earth and somebody forgot to turn the last robot off? After hundreds of years doing what he was built for, WALL•E discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger"
Some Like It Hot,1959,8.096,3568,122,"Comedy, Romance, Crime","Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",Billy Wilder,"Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft, Pat O’Brien"
Purple Hearts,2022,8.095,2647,122,"Romance, Drama","An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, John Harlan Kim, Chosen Jacobs, Anthony Ippolito"
Incendies,2010,8.1,2876,131,"Drama, War, Mystery","A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman"
The Hunt,2012,8.093,4323,116,Drama,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold"
The Tale of The Princess Kaguya,2013,8.092,1824,137,"Animation, Drama, Fantasy","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",Isao Takahata,"Aki Asakura, Takeo Chii, Nobuko Miyamoto, Kengo Kora, Atsuko Takahata"
Eternal Sunshine of the Spotless Mind,2004,8.092,15373,108,"Science Fiction, Drama, Romance","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood"
Sansho the Bailiff,1954,8.1,385,124,Drama,"In medieval Japan, a woman and her children journey to find the family's patriarch, who was exiled years earlier.",Kenji Mizoguchi,"Kinuyo Tanaka, Yoshiaki Hanayagi, Kyōko Kagawa, Eitarō Shindō, Ichirō Sugai"
La Haine,1995,8.091,4174,98,Drama,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo"
Transformers One,2024,8.088,1187,104,"Animation, Science Fiction, Adventure, Family","The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Jon Hamm"
"Paris, Texas",1984,8.1,1947,145,Drama,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Hunter Carson, Aurore Clément"
Children of Paradise,1945,8.1,421,190,"Drama, Romance","In a chaotic 19th-century Paris teeming with aristocrats, thieves, psychics, and courtesans, theater mime Baptiste is in love with the mysterious actress Garance. But Garance, in turn, is loved by three other men: pretentious actor Frederick, conniving thief Lacenaire, and Count Edouard of Montray.",Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Marcel Herrand, María Casares"
Harry Potter and the Deathly Hallows: Part 2,2011,8.087,20951,130,"Fantasy, Adventure","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman"
"Miraculous World: New York, United HeroeZ",2020,8.085,1106,61,"Animation, TV Movie, Fantasy, Action","Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!",Thomas Astruc,"Annouck Hautbois, Benjamin Bollen, Antoine Tomé, Fanny Bloc, Thierry Kazazian"
New Gods: Nezha Reborn,2021,8.1,456,116,"Animation, Fantasy, Action","While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",Zhao Ji,"Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng, Keer Zhu"
All About Eve,1950,8.082,1570,139,Drama,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill"
Das Boot,1981,8.082,2279,150,"Drama, History, War","A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.",Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge"
Along with the Gods: The Two Worlds,2017,8.076,1080,139,"Action, Adventure, Drama, Fantasy, Thriller","Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",Kim Yong-hwa,"Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon, Kim Hyang-gi, Lee Jung-jae"
